Terminal_ID,Truck_ID,Arrival_Time_Hr,Action,Container_ID
Allouez,1,30.5,dropoff,
Allouez,2,32.1,dropoff,
Allouez,3,35.7,pickup,
Allouez,4,38.2,dropoff,
Allouez,5,41.0,pickup,
Allouez,6,44.3,dropoff,
Allouez,7,48.8,pickup,
Allouez,8,52.5,pickup,
Allouez,9,55.9,dropoff,
Allouez,10,60.2,pickup,
Allouez,11,64.7,dropoff,
Allouez,12,68.1,pickup,
Allouez,13,72.4,dropoff,
Allouez,14,76.0,pickup,
Allouez,15,80.6,dropoff,
Allouez,16,84.2,pickup,
Allouez,17,88.8,dropoff,
Allouez,18,92.5,pickup,
Allouez,19,96.1,dropoff,
Allouez,20,100.7,pickup,
Allouez,21,104.3,dropoff,
Allouez,22,108.9,pickup,
Allouez,23,112.4,dropoff,
Allouez,24,116.0,pickup,
Allouez,25,120.5,dropoff,
Allouez,26,124.1,pickup,
Allouez,27,128.6,dropoff,
Allouez,28,132.2,pickup,
Allouez,29,136.8,dropoff,
Allouez,30,140.3,pickup,
Allouez,31,144.9,dropoff,
Allouez,32,148.5,pickup,
Allouez,33,152.1,dropoff,
Allouez,34,156.7,pickup,
Allouez,35,160.4,dropoff,
Allouez,36,164.0,pickup,
Allouez,37,168.6,dropoff,
Allouez,38,172.2,pickup,
Allouez,39,176.7,dropoff,
Allouez,40,180.3,pickup,
Allouez,41,184.9,dropoff,
Allouez,42,188.5,pickup,
Allouez,43,192.0,dropoff,
Allouez,44,196.6,pickup,
Allouez,45,200.2,dropoff,
Allouez,46,204.8,pickup,
Allouez,47,208.3,dropoff,
Allouez,48,212.0,pickup,
Allouez,49,216.5,dropoff,
Allouez,50,220.1,pickup,
